,Category,ID
0,All,0
1,Arts & Entertainment,3
2,Computers & Electronics,5
3,Finance,7
4,Games,8
5,Home & Garden,11
6,Business & Industrial,12
7,Internet & Telecom,13
8,People & Society,14
9,News,16
10,Shopping,18
11,Law & Government,19
12,Sports,20
13,Books & Literature,22
14,Performing Arts,23
15,Visual Art & Design,24
16,Advertising & Marketing,25
18,Office Services,28
19,Real Estate,29
20,Computer Hardware,30
21,Programming,31
23,Software,32
24,Offbeat,33
25,Movies,34
26,Music & Audio,35
27,TV & Video,36
28,Banking,37
29,Insurance,38
30,Card Games,39
31,Computer & Video Games,41
32,Jazz,42
33,Online Goodies,43
34,Beauty & Fitness,44
35,Health,45
36,Agriculture & Forestry,46
37,Autos & Vehicles,47
38,Construction & Maintenance,48
39,Manufacturing,49
40,Transportation & Logistics,50
41,Web Hosting & Domain Registration,53
42,Social Issues & Advocacy,54
43,Dating & Personals,55
44,Ethnic & Identity Groups,56
45,Charity & Philanthropy,57
46,Parenting,58
47,Religion & Belief,59
48,Jobs,60
49,Classifieds,61
50,Weather,63
51,Antiques & Collectibles,64
53,Hobbies & Leisure,65
54,Pets & Animals,66
56,Travel,67
57,Apparel,68
58,Consumer Resources,69
59,Gifts & Special Event Items,70
61,Food & Drink,71
62,Mass Merchants & Department Stores,73
63,Education,74
64,Legal,75
65,Government,76
66,Enterprise Technology,77
68,Consumer Electronics,78
70,Environmental Issues,82
71,Marketing Services,83
73,Search Engine Optimization & Marketing,84
76,Vehicle Parts & Accessories,89
77,Stereo Systems & Components,91
79,Skin & Nail Care,93
80,Fitness,94
81,Office Supplies,95
82,Real Estate Agencies,96
83,Consumer Advocacy & Protection,97
84,Fashion Designers & Collections,98
85,Gifts,99
87,Cards & Greetings,100
89,Spirituality,101
90,Personals,102
91,ISPs,104
92,Online Games,105
94,Investing,107
95,Language Resources,108
96,Broadcast & Network News,112
97,Gay-Lesbian-Bisexual-Transgender,113
98,Baby Care & Hygiene,115
99,Water Sports,118
101,Wildlife,119
103,Cookware & Diningware,120
104,Grocery & Food Retailers,121
106,Cooking & Recipes,122
107,Tobacco Products,123
108,Clothing Accessories,124
109,Homemaking & Interior Decor,137
110,Vehicle Maintenance,138
111,Face & Body Care,143
112,Unwanted Body & Facial Hair Removal,144
113,Spas & Beauty Services,145
114,Hair Care,146
115,Cosmetology & Beauty Professionals,147
116,Off-Road Vehicles,148
117,Kids & Teens,154
118,Human Resources,157
119,Home Improvement,158
120,Public Safety,166
121,Emergency Services,168
122,Vehicle Licensing & Registration,170
123,Native Americans,171
124,Science,174
125,Hotels & Accommodations,179
126,Motor Sports,180
127,Humor,182
128,Celebrities & Entertainment News,184
130,Fashion & Style,185
131,Clubs & Nightlife,188
133,Clubs & Organizations,189
134,Forum & Chat Providers,191
135,Reproductive Health,195
136,Birth Control,198
137,Erectile Dysfunction,202
139,Air Travel,203
140,Car Rental & Taxi Services,205
141,Cruises & Charters,206
142,Tourist Destinations,208
143,DVD & Video Shopping,210
145,Online Video,211
147,Movie Memorabilia,213
148,Radio,215
149,Musical Instruments,216
150,CD & Audio Shopping,217
152,Music Art & Memorabilia,218
153,Music Streams & Downloads,220
155,Software Utilities,224
156,Device Drivers,225
157,Computer Memory,226
159,MP3 & Portable Media Players,227
163,PDAs & Handhelds,228
165,TV & Video Equipment,229
167,Car Audio,230
170,Engineering & Technology,231
171,Energy & Utilities,233
172,Make-Up & Cosmetics,234
173,Hair Loss,235
174,Weight Loss,236
175,Vitamins & Supplements,237
176,Cosmetic Surgery,238
178,Body Art,239
179,Bodybuilding,241
180,Perfumes & Fragrances,242
181,Hygiene & Toiletries,244
182,Oral & Dental Care,245
183,Vision Care,246
184,Pharmacy,248
185,Health Insurance,249
186,Hospitals & Treatment Centers,250
187,Medical Devices & Equipment,251
188,Health Foundations & Medical Research,252
189,Medical Literature & Resources,253
190,Health Education & Medical Training,254
192,Pharmaceuticals & Biotech,255
193,Medical Facilities & Services,256
194,Substance Abuse,257
195,American Football,258
196,Baseball,259
197,Hockey,260
198,Golf,261
199,Racquet Sports,262
200,Sporting Goods,263
202,Basketball,264
203,Winter Sports,265
204,Maps,268
205,Gardening & Landscaping,269
206,Home Furnishings,270
207,Home Appliances,271
208,Lamps & Lighting,272
209,Motorcycles,273
210,Photo & Video Sharing,275
211,Restaurants,276
212,Alcoholic Beverages,277
213,Accounting & Auditing,278
214,Credit & Lending,279
215,Merchant Services & Payment Systems,280
218,Crafts,284
219,Industrial Materials & Equipment,287
220,Chemicals Industry,288
